county,state_code,state,tax_burden,medianage,cost_of_living_rank,elementary_school_rating,middle_school_rating,high_school_rating,daily_cases,percentage_fully_vaccinated,risk_index,risk
Ashland County,WI,Wisconsin,8.89,40.0,17.0,6,7,8,3285.0,71.6,1.0,Medium
Ashley County,AR,Arkansas,8.8,38.0,20.0,4,2,5,5113.0,50.0,0.0,Low
Ashtabula County,OH,Ohio,8.96,39.0,16.0,7,4,7,19872.0,52.7,1.0,Medium
Asotin County,WA,Washington,8.34,38.0,24.0,2,1,1,4526.0,41.4,1.0,Medium
Atascosa County,TX,Texas,8.19,35.0,30.0,6,10,4,13032.0,52.1,2.0,High
Athens County,OH,Ohio,8.96,39.0,16.0,5,9,10,14537.0,51.300000000000004,1.0,Medium
Atkinson County,GA,Georgia,7.91,37.0,35.0,1,2,6,2146.0,39.6,2.0,High
Atlantic County,NJ,New Jersey,9.98,40.0,7.0,3,8,10,68624.0,67.0,2.0,High
Atoka County,OK,Oklahoma,7.13,37.0,44.0,1,10,9,3884.0,36.0,2.0,High
Attala County,MS,Mississippi,8.99,38.0,15.0,8,6,7,5319.0,54.2,1.0,Medium
Audubon County,IA,Iowa,9.26,38.0,13.0,10,1,3,1102.0,58.3,1.0,Medium
Auglaize County,OH,Ohio,8.96,39.0,16.0,10,10,6,11577.0,39.5,0.0,Low
Austin County,TX,Texas,8.19,35.0,30.0,7,6,6,5743.0,47.8,2.0,High
Avery County,NC,North Carolina,8.07,39.0,34.0,4,4,5,4549.0,53.2,3.0,Critical
Bacon County,GA,Georgia,7.91,37.0,35.0,9,9,4,3412.0,30.5,2.0,High
Baker County,FL,Florida,6.97,42.0,45.0,10,1,7,8668.0,36.4,1.0,Medium
Baker County,GA,Georgia,7.91,37.0,35.0,1,3,10,536.0,51.7,1.0,Medium
Baker County,OR,Oregon,8.29,39.0,27.0,3,9,6,3210.0,70.19999999999999,1.0,Medium
Baldwin County,GA,Georgia,7.91,37.0,35.0,3,9,7,9535.0,44.1,1.0,Medium
Baltimore City County,MD,Maryland,9.32,39.0,12.0,7,5,7,,,,
Baltimore County,MD,Maryland,9.32,39.0,12.0,10,10,8,132473.0,72.5,2.0,High
Bamberg County,SC,South Carolina,7.45,39.0,40.0,5,10,6,3425.0,51.0,0.0,Low
Bandera County,TX,Texas,8.19,35.0,30.0,3,4,5,3561.0,50.8,1.0,Medium
Banks County,GA,Georgia,7.91,37.0,35.0,9,2,5,3949.0,30.4,2.0,High
Barnstable County,MA,Massachusetts,8.77,40.0,21.0,10,1,9,35384.0,,2.0,High
Barnwell County,SC,South Carolina,7.45,39.0,40.0,1,3,4,5812.0,55.900000000000006,0.0,Low
Barron County,WI,Wisconsin,8.89,40.0,17.0,6,1,9,13483.0,53.400000000000006,1.0,Medium
Barrow County,GA,Georgia,7.91,37.0,35.0,2,8,5,21890.0,39.900000000000006,1.0,Medium
Barry County,MI,Michigan,8.34,40.0,24.0,4,1,6,14325.0,49.0,1.0,Medium
Bartholomew County,IN,Indiana,8.15,38.0,33.0,4,1,6,21321.0,59.599999999999994,1.0,Medium
Bartow County,GA,Georgia,7.91,37.0,35.0,10,6,3,29341.0,37.3,1.0,Medium
Bastrop County,TX,Texas,8.19,35.0,30.0,1,1,4,21757.0,57.9,1.0,Medium
Bates County,MO,Missouri,7.75,39.0,39.0,8,8,1,3746.0,38.800000000000004,4.0,Unknown
Bath County,KY,Kentucky,8.58,39.0,22.0,7,3,7,3139.0,53.900000000000006,3.0,Critical
Baxter County,AR,Arkansas,8.8,38.0,20.0,5,4,8,8763.0,46.800000000000004,1.0,Medium
Bay County,MI,Michigan,8.34,40.0,24.0,2,2,2,27034.0,57.199999999999996,1.0,Medium
Bayfield County,WI,Wisconsin,8.89,40.0,17.0,8,10,8,3305.0,81.8,2.0,High
Baylor County,TX,Texas,8.19,35.0,30.0,6,5,2,812.0,41.199999999999996,1.0,Medium
Bear Lake County,ID,Idaho,7.88,36.0,36.0,8,7,2,928.0,46.2,2.0,High
Beaufort County,SC,South Carolina,7.45,39.0,40.0,6,2,1,43056.0,64.8,1.0,Medium
Beaver County,OK,Oklahoma,7.13,37.0,44.0,5,10,1,967.0,31.1,1.0,Medium
Beaver County,PA,Pennsylvania,8.46,41.0,23.0,9,8,7,40192.0,54.2,1.0,Medium
Becker County,MN,Minnesota,9.99,38.0,6.0,7,4,9,8807.0,54.300000000000004,1.0,Medium
Beckham County,OK,Oklahoma,7.13,37.0,44.0,4,6,10,5943.0,41.3,2.0,High
Bedford County,TN,Tennessee,5.74,39.0,49.0,8,8,10,14954.0,42.9,1.0,Medium
Bee County,TX,Texas,8.19,35.0,30.0,6,5,3,8303.0,50.4,1.0,Medium
Belknap County,NH,New Hampshire,6.84,43.0,46.0,8,10,4,13624.0,,2.0,High
Bell County,KY,Kentucky,8.58,39.0,22.0,10,1,2,8854.0,45.800000000000004,1.0,Medium
Bell County,TX,Texas,8.19,35.0,30.0,9,5,5,66927.0,60.9,1.0,Medium
Belmont County,OH,Ohio,8.96,39.0,16.0,9,9,2,15688.0,48.1,1.0,Medium
Beltrami County,MN,Minnesota,9.99,38.0,6.0,5,9,1,12027.0,67.60000000000001,1.0,Medium
Ben Hill County,GA,Georgia,7.91,37.0,35.0,8,2,4,4331.0,38.5,1.0,Medium
Benewah County,ID,Idaho,7.88,36.0,36.0,8,3,4,2396.0,51.7,1.0,Medium
Bennington County,VT,Vermont,10.75,43.0,3.0,4,9,4,9524.0,76.3,2.0,High
Benton County,AR,Arkansas,8.8,38.0,20.0,10,4,3,66681.0,53.300000000000004,1.0,Medium
Benton County,MN,Minnesota,9.99,38.0,6.0,5,10,5,14031.0,43.6,1.0,Medium
Benton County,MS,Mississippi,8.99,38.0,15.0,8,4,6,2267.0,51.6,0.0,Low
Benton County,OR,Oregon,8.29,39.0,27.0,3,9,7,15344.0,74.7,2.0,High
Benton County,TN,Tennessee,5.74,39.0,49.0,5,2,2,4507.0,44.3,2.0,High
Bergen County,NJ,New Jersey,9.98,40.0,7.0,10,7,7,226592.0,77.4,3.0,Critical
Berkeley County,SC,South Carolina,7.45,39.0,40.0,1,7,5,51760.0,52.0,1.0,Medium
Berkeley County,WV,West Virginia,8.84,43.0,18.0,4,7,9,35712.0,54.800000000000004,1.0,Medium
Berks County,PA,Pennsylvania,8.46,41.0,23.0,3,2,1,102408.0,58.099999999999994,2.0,High
Berrien County,GA,Georgia,7.91,37.0,35.0,5,4,6,4937.0,33.800000000000004,1.0,Medium
Berrien County,MI,Michigan,8.34,40.0,24.0,9,2,2,34761.0,55.900000000000006,1.0,Medium
Bexar County,TX,Texas,8.19,35.0,30.0,10,6,10,554310.0,69.3,1.0,Medium
Bibb County,AL,Alabama,7.45,39.0,40.0,2,4,8,6419.0,34.699999999999996,2.0,High
Bibb County,GA,Georgia,7.91,37.0,35.0,7,1,5,37152.0,45.800000000000004,1.0,Medium
Bienville Parish,LA,Louisiana,8.82,37.0,19.0,7,4,2,3977.0,49.0,1.0,Medium
Big Stone County,MN,Minnesota,9.99,38.0,6.0,6,8,9,1386.0,63.1,2.0,High
Blaine County,OK,Oklahoma,7.13,37.0,44.0,10,4,10,2455.0,46.6,1.0,Medium
Blanco County,TX,Texas,8.19,35.0,30.0,7,8,3,2536.0,57.099999999999994,1.0,Medium
Bleckley County,GA,Georgia,7.91,37.0,35.0,8,2,8,3341.0,36.4,1.0,Medium
Bledsoe County,TN,Tennessee,5.74,39.0,49.0,6,7,2,4661.0,36.9,1.0,Medium
Blount County,AL,Alabama,7.45,39.0,40.0,5,3,2,14947.0,31.7,2.0,High
Blount County,TN,Tennessee,5.74,39.0,49.0,10,10,6,39108.0,52.2,1.0,Medium
Boise County,ID,Idaho,7.88,36.0,36.0,2,8,6,1089.0,33.7,0.0,Low
Bolivar County,MS,Mississippi,8.99,38.0,15.0,3,4,1,9285.0,58.9,1.0,Medium
Bollinger County,MO,Missouri,7.75,39.0,39.0,8,1,8,2589.0,33.1,4.0,Unknown
Bond County,IL,Illinois,9.52,38.0,9.0,8,3,10,4332.0,55.1,2.0,High
Bonner County,ID,Idaho,7.88,36.0,36.0,3,10,1,8871.0,43.1,1.0,Medium
Boone County,AR,Arkansas,8.8,38.0,20.0,7,5,10,9435.0,37.4,1.0,Medium
Boone County,IA,Iowa,9.26,38.0,13.0,9,10,4,5463.0,64.5,2.0,High
Boone County,IL,Illinois,9.52,38.0,9.0,6,1,9,13838.0,61.3,1.0,Medium
Boone County,IN,Indiana,8.15,38.0,33.0,6,9,7,15226.0,70.6,2.0,High
Boone County,KY,Kentucky,8.58,39.0,22.0,7,3,1,39617.0,62.2,1.0,Medium
Bosque County,TX,Texas,8.19,35.0,30.0,4,5,3,4069.0,47.3,1.0,Medium
Bossier Parish,LA,Louisiana,8.82,37.0,19.0,3,9,1,37499.0,50.5,1.0,Medium
Boulder County,CO,Colorado,8.31,37.0,26.0,5,4,10,64512.0,78.4,3.0,Critical
Boundary County,ID,Idaho,7.88,36.0,36.0,5,1,10,2087.0,35.099999999999994,1.0,Medium
Bourbon County,KS,Kansas,9.36,37.0,11.0,7,10,1,4382.0,36.7,1.0,Medium
Bourbon County,KY,Kentucky,8.58,39.0,22.0,9,2,6,5959.0,57.99999999999999,1.0,Medium
Bowie County,TX,Texas,8.19,35.0,30.0,4,10,9,20105.0,39.4,1.0,Medium
Box Elder County,UT,Utah,8.29,31.0,27.0,8,2,5,14073.0,52.0,1.0,Medium
Boyle County,KY,Kentucky,8.58,39.0,22.0,3,1,8,8404.0,56.89999999999999,1.0,Medium
Bracken County,KY,Kentucky,8.58,39.0,22.0,9,1,3,2173.0,47.3,1.0,Medium
Bradford County,FL,Florida,6.97,42.0,45.0,1,3,3,7467.0,44.4,0.0,Low
Bradley County,AR,Arkansas,8.8,38.0,20.0,8,10,1,2990.0,56.8,1.0,Medium
Bradley County,TN,Tennessee,5.74,39.0,49.0,5,7,9,33129.0,41.8,1.0,Medium
Branch County,MI,Michigan,8.34,40.0,24.0,10,2,2,12171.0,45.2,1.0,Medium
Brantley County,GA,Georgia,7.91,37.0,35.0,1,8,4,4132.0,26.0,2.0,High
Brazoria County,TX,Texas,8.19,35.0,30.0,9,9,1,93483.0,57.99999999999999,1.0,Medium
Brazos County,TX,Texas,8.19,35.0,30.0,4,9,1,60350.0,51.6,1.0,Medium
Breathitt County,KY,Kentucky,8.58,39.0,22.0,6,8,6,3773.0,52.7,2.0,High
Brevard County,FL,Florida,6.97,42.0,45.0,3,9,9,133408.0,64.60000000000001,2.0,High
Bristol County,MA,Massachusetts,8.77,40.0,21.0,3,2,1,150630.0,65.60000000000001,2.0,High
Bristol County,RI,Rhode Island,9.69,40.0,8.0,7,8,10,13655.0,78.7,3.0,Critical
Bronx County,NY,New York,12.79,39.0,1.0,10,10,1,397105.0,74.7,2.0,High
Brooks County,GA,Georgia,7.91,37.0,35.0,2,9,10,3419.0,48.1,1.0,Medium
Broomfield County,CO,Colorado,8.31,37.0,26.0,5,2,10,13449.0,80.60000000000001,2.0,High
Broward County,FL,Florida,6.97,42.0,45.0,2,5,5,601613.0,71.2,2.0,High
Brown County,IN,Indiana,8.15,38.0,33.0,1,8,4,2586.0,50.8,0.0,Low
Brown County,MN,Minnesota,9.99,38.0,6.0,6,7,10,6535.0,65.9,2.0,High
Brown County,OH,Ohio,8.96,39.0,16.0,10,3,5,11183.0,41.0,1.0,Medium
Brown County,TX,Texas,8.19,35.0,30.0,3,9,2,11787.0,41.699999999999996,3.0,Critical
Brown County,WI,Wisconsin,8.89,40.0,17.0,1,6,9,84159.0,65.10000000000001,2.0,High
Bryan County,GA,Georgia,7.91,37.0,35.0,5,2,1,9131.0,53.900000000000006,1.0,Medium
Bryan County,OK,Oklahoma,7.13,37.0,44.0,7,9,4,13572.0,42.8,0.0,Low
Buchanan County,MO,Missouri,7.75,39.0,39.0,1,9,4,16925.0,38.5,4.0,Unknown
Bucks County,PA,Pennsylvania,8.46,41.0,23.0,7,3,4,123614.0,62.9,2.0,High
Buffalo County,WI,Wisconsin,8.89,40.0,17.0,2,1,2,3510.0,50.2,2.0,High
Bullitt County,KY,Kentucky,8.58,39.0,22.0,1,3,6,21432.0,45.4,3.0,Critical
Bulloch County,GA,Georgia,7.91,37.0,35.0,2,3,10,15361.0,34.300000000000004,1.0,Medium
Buncombe County,NC,North Carolina,8.07,39.0,34.0,3,3,7,52331.0,66.0,1.0,Medium
Bureau County,IL,Illinois,9.52,38.0,9.0,3,10,4,8354.0,56.8,1.0,Medium
Burke County,GA,Georgia,7.91,37.0,35.0,6,9,6,5295.0,56.99999999999999,1.0,Medium
Burke County,NC,North Carolina,8.07,39.0,34.0,9,1,3,25037.0,46.400000000000006,1.0,Medium
Burleson County,TX,Texas,8.19,35.0,30.0,2,10,6,5009.0,49.2,1.0,Medium
Burlington County,NJ,New Jersey,9.98,40.0,7.0,4,7,7,102870.0,74.4,2.0,High
Burnet County,TX,Texas,8.19,35.0,30.0,4,10,5,10961.0,54.1,2.0,High
Burnett County,WI,Wisconsin,8.89,40.0,17.0,1,6,9,3979.0,56.99999999999999,2.0,High
Burt County,NE,Nebraska,9.01,37.0,14.0,10,2,1,1346.0,58.599999999999994,2.0,High
Butler County,MO,Missouri,7.75,39.0,39.0,1,1,1,10111.0,34.4,4.0,Unknown
Butler County,NE,Nebraska,9.01,37.0,14.0,4,9,5,1908.0,51.300000000000004,3.0,Critical
Butler County,OH,Ohio,8.96,39.0,16.0,4,1,6,92921.0,56.8,1.0,Medium
Butler County,PA,Pennsylvania,8.46,41.0,23.0,2,5,1,44536.0,61.9,2.0,High
Butte County,CA,California,9.48,37.0,10.0,8,9,10,39736.0,53.1,1.0,Medium
Butts County,GA,Georgia,7.91,37.0,35.0,3,5,3,6472.0,33.800000000000004,2.0,High
Cabarrus County,NC,North Carolina,8.07,39.0,34.0,1,1,10,55566.0,55.60000000000001,1.0,Medium
Cache County,UT,Utah,8.29,31.0,27.0,1,5,4,37113.0,58.3,1.0,Medium
Caddo County,OK,Oklahoma,7.13,37.0,44.0,6,10,3,8249.0,65.60000000000001,1.0,Medium
Caddo Parish,LA,Louisiana,8.82,37.0,19.0,9,2,7,67239.0,48.4,1.0,Medium
Calaveras County,CA,California,9.48,37.0,10.0,1,8,2,7633.0,53.2,1.0,Medium
Caldwell County,MO,Missouri,7.75,39.0,39.0,6,3,6,1694.0,39.2,4.0,Unknown
Caldwell County,NC,North Carolina,8.07,39.0,34.0,6,7,1,22156.0,47.5,1.0,Medium
Caldwell County,TX,Texas,8.19,35.0,30.0,3,1,9,14205.0,56.89999999999999,1.0,Medium
Caledonia County,VT,Vermont,10.75,43.0,3.0,8,2,7,5718.0,71.39999999999999,2.0,High
Calhoun County,AL,Alabama,7.45,39.0,40.0,7,2,8,32340.0,46.800000000000004,0.0,Low
Calhoun County,AR,Arkansas,8.8,38.0,20.0,9,6,6,960.0,37.1,0.0,Low
Calhoun County,GA,Georgia,7.91,37.0,35.0,10,7,2,1362.0,48.4,1.0,Medium
Calhoun County,IL,Illinois,9.52,38.0,9.0,1,3,9,1521.0,52.0,1.0,Medium
Calhoun County,MI,Michigan,8.34,40.0,24.0,6,2,5,34219.0,52.2,1.0,Medium
Calhoun County,MS,Mississippi,8.99,38.0,15.0,3,4,1,4638.0,44.0,0.0,Low
Calhoun County,TX,Texas,8.19,35.0,30.0,6,5,3,5519.0,57.3,0.0,Low
Callahan County,TX,Texas,8.19,35.0,30.0,2,4,9,2857.0,42.0,3.0,Critical
Calumet County,WI,Wisconsin,8.89,40.0,17.0,10,6,9,14512.0,56.3,2.0,High
Calvert County,MD,Maryland,9.32,39.0,12.0,6,1,6,11158.0,70.7,1.0,Medium
Camas County,ID,Idaho,7.88,36.0,36.0,5,8,4,158.0,43.0,0.0,Low
Camden County,GA,Georgia,7.91,37.0,35.0,5,7,7,11383.0,56.49999999999999,1.0,Medium
Camden County,NJ,New Jersey,9.98,40.0,7.0,6,9,3,126255.0,68.89999999999999,2.0,High
Camp County,TX,Texas,8.19,35.0,30.0,4,6,2,2861.0,40.6,2.0,High
Campbell County,KY,Kentucky,8.58,39.0,22.0,2,7,7,24661.0,63.7,1.0,Medium
Campbell County,TN,Tennessee,5.74,39.0,49.0,3,7,7,12230.0,43.8,1.0,Medium
Canadian County,OK,Oklahoma,7.13,37.0,44.0,4,1,8,39499.0,58.099999999999994,2.0,High
Candler County,GA,Georgia,7.91,37.0,35.0,3,7,6,2181.0,42.1,5.0,Extreme
Cannon County,TN,Tennessee,5.74,39.0,49.0,5,5,1,4199.0,32.2,1.0,Medium
Canyon County,ID,Idaho,7.88,36.0,36.0,10,3,8,61438.0,46.400000000000006,1.0,Medium
Cape Girardeau County,MO,Missouri,7.75,39.0,39.0,7,2,5,18740.0,48.9,4.0,Unknown
Cape May County,NJ,New Jersey,9.98,40.0,7.0,5,10,10,21972.0,73.8,2.0,High
Carbon County,UT,Utah,8.29,31.0,27.0,8,5,2,5203.0,49.8,1.0,Medium
Caribou County,ID,Idaho,7.88,36.0,36.0,2,4,4,1490.0,40.2,1.0,Medium
Caroline County,MD,Maryland,9.32,39.0,12.0,2,9,3,6061.0,57.099999999999994,1.0,Medium
Caroline County,VA,Virginia,7.86,38.0,37.0,8,3,3,6831.0,59.3,1.0,Medium
Carroll County,AR,Arkansas,8.8,38.0,20.0,9,9,2,6104.0,47.599999999999994,1.0,Medium
Carroll County,GA,Georgia,7.91,37.0,35.0,9,10,6,23773.0,37.8,1.0,Medium
Carroll County,MD,Maryland,9.32,39.0,12.0,5,1,5,21487.0,72.0,1.0,Medium
Carroll County,MS,Mississippi,8.99,38.0,15.0,4,9,6,2557.0,41.199999999999996,0.0,Low
Carroll County,NH,New Hampshire,6.84,43.0,46.0,7,3,4,9411.0,,3.0,Critical
Carroll County,OH,Ohio,8.96,39.0,16.0,9,10,10,5254.0,43.9,0.0,Low
Carroll County,TN,Tennessee,5.74,39.0,49.0,10,3,6,8956.0,48.5,1.0,Medium
Carson City,NV,Nevada,8.23,38.0,29.0,3,7,6,14922.0,64.2,1.0,Medium
Carter County,MO,Missouri,7.75,39.0,39.0,1,4,10,1499.0,32.5,4.0,Unknown
Carter County,OK,Oklahoma,7.13,37.0,44.0,1,9,9,14315.0,44.0,2.0,High
Carter County,TN,Tennessee,5.74,39.0,49.0,7,1,1,16476.0,40.400000000000006,1.0,Medium
Carver County,MN,Minnesota,9.99,38.0,6.0,4,8,4,26698.0,67.4,1.0,Medium
Cass County,IA,Iowa,9.26,38.0,13.0,3,5,10,2958.0,58.099999999999994,1.0,Medium
Cass County,MI,Michigan,8.34,40.0,24.0,3,2,5,11103.0,43.5,2.0,High
Cass County,MN,Minnesota,9.99,38.0,6.0,7,9,8,7022.0,56.89999999999999,1.0,Medium
Cass County,MO,Missouri,7.75,39.0,39.0,7,2,6,24967.0,51.7,4.0,Unknown
Cass County,NE,Nebraska,9.01,37.0,14.0,4,8,3,6128.0,61.6,0.0,Low
Cass County,TX,Texas,8.19,35.0,30.0,1,3,10,7221.0,35.3,1.0,Medium
Cassia County,ID,Idaho,7.88,36.0,36.0,3,6,1,5029.0,40.699999999999996,0.0,Low
Caswell County,NC,North Carolina,8.07,39.0,34.0,9,3,8,5259.0,47.3,1.0,Medium
Catawba County,NC,North Carolina,8.07,39.0,34.0,9,3,10,47491.0,54.1,1.0,Medium
Cattaraugus County,NY,New York,12.79,39.0,1.0,1,5,3,15521.0,56.2,2.0,High
Cayuga County,NY,New York,12.79,39.0,1.0,6,3,1,16697.0,59.199999999999996,3.0,Critical
Cecil County,MD,Maryland,9.32,39.0,12.0,7,1,1,15522.0,58.4,1.0,Medium
Chaffee County,CO,Colorado,8.31,37.0,26.0,1,10,3,4590.0,64.0,3.0,Critical
Chambers County,TX,Texas,8.19,35.0,30.0,2,10,6,11706.0,48.0,1.0,Medium
Champaign County,IL,Illinois,9.52,38.0,9.0,1,1,8,63786.0,65.10000000000001,3.0,Critical
Champaign County,OH,Ohio,8.96,39.0,16.0,3,6,10,8728.0,45.7,2.0,High
Charles City County,VA,Virginia,7.86,38.0,37.0,5,6,5,1157.0,95.0,1.0,Medium
Charles County,MD,Maryland,9.32,39.0,12.0,7,9,1,28096.0,70.19999999999999,2.0,High
Charleston County,SC,South Carolina,7.45,39.0,40.0,9,4,6,111853.0,65.4,1.0,Medium
Charlotte County,FL,Florida,6.97,42.0,45.0,5,6,1,35842.0,65.2,1.0,Medium
Charlton County,GA,Georgia,7.91,37.0,35.0,3,8,1,3055.0,25.2,2.0,High
Chatham County,GA,Georgia,7.91,37.0,35.0,9,8,3,63676.0,56.10000000000001,1.0,Medium
Chatham County,NC,North Carolina,8.07,39.0,34.0,8,5,10,12819.0,58.9,2.0,High
Chattooga County,GA,Georgia,7.91,37.0,35.0,6,4,10,6665.0,38.0,1.0,Medium
Chautauqua County,NY,New York,12.79,39.0,1.0,10,8,8,23629.0,59.199999999999996,1.0,Medium
Chaves County,NM,New Mexico,8.19,38.0,30.0,5,6,5,21710.0,40.5,0.0,Low
Cheatham County,TN,Tennessee,5.74,39.0,49.0,4,4,9,10906.0,58.8,1.0,Medium
Chelan County,WA,Washington,8.34,38.0,24.0,8,2,10,20131.0,70.5,1.0,Medium
Cherokee County,AL,Alabama,7.45,39.0,40.0,6,1,2,5117.0,30.7,2.0,High
Cherokee County,GA,Georgia,7.91,37.0,35.0,1,9,8,63336.0,49.5,1.0,Medium
Cherokee County,NC,North Carolina,8.07,39.0,34.0,6,1,7,7072.0,46.1,1.0,Medium
Cherokee County,OK,Oklahoma,7.13,37.0,44.0,8,7,7,14512.0,48.0,2.0,High
Cherokee County,SC,South Carolina,7.45,39.0,40.0,4,8,3,14680.0,34.2,1.0,Medium
Cherokee County,TX,Texas,8.19,35.0,30.0,3,3,8,7966.0,39.5,2.0,High
Chesapeake,VA,Virginia,7.86,38.0,37.0,8,6,1,,,,
Cheshire County,NH,New Hampshire,6.84,43.0,46.0,5,4,5,14987.0,,3.0,Critical
Chester County,PA,Pennsylvania,8.46,41.0,23.0,5,2,10,92260.0,69.6,2.0,High
Chester County,SC,South Carolina,7.45,39.0,40.0,1,4,10,10089.0,46.0,0.0,Low
